word1,word2,path_similarity,wu_palmer_similarity,ic_resnik
support,water,11,0.18181818181818182,7.478710710629186
support,dwelling,12,0.0,7.478710710629186
support,worm,13,0.0,7.478710710629186
support,like,11,0.26666666666666666,7.478710710629186
support,animals,11,0.0,7.478710710629186
given,two,14,0.125,6.26321913693105
given,processes,11,0.26666666666666666,6.26321913693105
given,tentacles,14,0.125,6.26321913693105
given,water,14,0.14285714285714285,6.26321913693105
given,dwelling,16,0.0,6.26321913693105
given,worm,16,0.0,6.26321913693105
given,animals,14,0.0,6.26321913693105
two,tentacles,12,0.14285714285714285,5.997938001168436
two,water,12,0.16666666666666666,5.997938001168436
two,dwelling,14,0.0,5.997938001168436
two,worm,14,0.0,5.997938001168436
two,like,14,0.125,5.997938001168436
processes,tentacles,11,0.15384615384615385,5.30479082060849
processes,water,11,0.18181818181818182,5.30479082060849
processes,dwelling,12,0.0,5.30479082060849
processes,worm,13,0.0,5.30479082060849
processes,like,11,0.26666666666666666,5.30479082060849
processes,animals,11,0.0,5.30479082060849
tentacles,water,12,0.16666666666666666,11.88542995789344
tentacles,dwelling,14,0.0,11.88542995789344
tentacles,worm,14,0.0,11.88542995789344
tentacles,like,14,0.125,11.88542995789344
tentacles,animals,12,0.0,11.88542995789344
water,worm,10,0.15384615384615385,7.00642310627562
water,like,14,0.14285714285714285,7.00642310627562
dwelling,worm,9,0.4,10.180681865655014
dwelling,like,16,0.0,10.180681865655014
worm,animals,2,0.8571428571428571,7.878096772660968
like,animals,14,0.0,6.2833111370137384
examined,suffered,inf,0,7.198679784912925
examined,post,inf,0,7.198679784912925
examined,epileptic,inf,0,7.198679784912925
examined,ache,inf,0,7.198679784912925
examined,head,inf,0,7.198679784912925
patients,suffered,inf,0,7.097938215111393
patients,post,9,0.36363636363636365,7.097938215111393
patients,epileptic,2,0.9090909090909091,7.097938215111393
patients,ache,13,0.0,7.097938215111393
patients,head,9,0.18181818181818182,7.097938215111393
suffered,post,inf,0,9.53405470072996
suffered,epileptic,inf,0,9.53405470072996
suffered,ache,inf,0,9.53405470072996
suffered,head,inf,0,9.53405470072996
